N T union_alg comp_alg step path_len point_upd ngroups
10000 0 0 0 27750 12751478 0 42
10000 0 0 0 28000 12771399 0 39
10000 0 0 0 28250 12781361 0 38
10000 0 0 0 28500 12791324 0 37
10000 0 0 0 28750 12801290 0 35
10000 0 0 0 29000 12811258 0 33
10000 0 0 0 29250 12811259 0 32
10000 0 0 0 29500 12811259 0 32
10000 0 0 0 29750 12811259 0 32
10000 0 0 0 30000 12821231 0 28
10000 0 0 0 30250 12831206 0 26
10000 0 0 0 30500 12831206 0 26
10000 0 0 0 30750 12851157 0 24
10000 0 0 0 31000 12851157 0 24
10000 0 0 0 31250 12871112 0 22
10000 0 0 0 31500 12871112 0 22
10000 0 0 0 31750 12871112 0 22
10000 0 0 0 32000 12871112 0 22
10000 0 0 0 32250 12881091 0 21
10000 0 0 0 32500 12881092 0 20
10000 0 0 0 32750 12881093 0 19
10000 0 0 0 33000 12901060 0 16
10000 0 0 0 33250 12901061 0 15
10000 0 0 0 33500 12911047 0 14
10000 0 0 0 33750 12911048 0 13
10000 0 0 0 34000 12921036 0 12
10000 0 0 0 34250 12921036 0 12
10000 0 0 0 34500 12921036 0 12
10000 0 0 0 34750 12921036 0 12
10000 0 0 0 35000 12941015 0 10
10000 0 0 0 35250 12941016 0 9
10000 0 0 0 35500 12941016 0 9
10000 0 0 0 35750 12941016 0 9
10000 0 0 0 36000 12941017 0 8
10000 0 0 0 36250 12941018 0 7
10000 0 0 0 36500 12941018 0 7
10000 0 0 0 36750 12941018 0 7
10000 0 0 0 37000 12941018 0 7
10000 0 0 0 37250 12941018 0 7
10000 0 0 0 37500 12941018 0 7
10000 0 0 0 37750 12941018 0 7
10000 0 0 0 38000 12941019 0 6
10000 0 0 0 38250 12941019 0 6
10000 0 0 0 38500 12941019 0 6
10000 0 0 0 38750 12951014 0 5
10000 0 0 0 39000 12951014 0 5
10000 0 0 0 39250 12951014 0 5
10000 0 0 0 39500 12951014 0 5
10000 0 0 0 39750 12951014 0 5
10000 0 0 0 40000 12951014 0 5
10000 0 0 0 40250 12951014 0 5
10000 0 0 0 40500 12961010 0 4
10000 0 0 0 40750 12961010 0 4
10000 0 0 0 41000 12961010 0 4
10000 0 0 0 41250 12961010 0 4
10000 0 0 0 41500 12961010 0 4
10000 0 0 0 41750 12961010 0 4
10000 0 0 0 42000 12961010 0 4
10000 0 0 0 42250 12961010 0 4
10000 0 0 0 42500 12961010 0 4
10000 0 0 0 42750 12961010 0 4
10000 0 0 0 43000 12961010 0 4
10000 0 0 0 43250 12961010 0 4
10000 0 0 0 43500 12961010 0 4
10000 0 0 0 43750 12971007 0 3
10000 0 0 0 44000 12971007 0 3
10000 0 0 0 44250 12971007 0 3
10000 0 0 0 44500 12971007 0 3
10000 0 0 0 44750 12981005 0 2
10000 0 0 0 45000 12981005 0 2
10000 0 0 0 45250 12981005 0 2
10000 0 0 0 45500 12981005 0 2
10000 0 0 0 45703 12991004 0 1
1000 1 0 0 1 0 0 1000
1000 1 0 0 250 326 0 751
1000 1 0 0 500 1591 0 502
1000 1 0 0 750 17915 0 280
1000 1 0 0 1000 51556 0 164
1000 1 0 0 1250 75038 0 96
1000 1 0 0 1500 89682 0 59
1000 1 0 0 1750 100080 0 36
1000 1 0 0 2000 107860 0 20
1000 1 0 0 2250 110812 0 13
1000 1 0 0 2500 112798 0 8
1000 1 0 0 2750 113792 0 6
1000 1 0 0 3000 113792 0 6
1000 1 0 0 3250 114787 0 5
1000 1 0 0 3500 115783 0 4
1000 1 0 0 3750 115783 0 4
1000 1 0 0 4000 115785 0 2
1000 1 0 0 4180 116784 0 1
5000 1 0 0 1 0 0 5000
5000 1 0 0 250 262 0 4751
5000 1 0 0 500 552 0 4501
5000 1 0 0 750 904 0 4251
5000 1 0 0 1000 1312 0 4001
5000 1 0 0 1250 1797 0 3751
5000 1 0 0 1500 2382 0 3501
5000 1 0 0 1750 3063 0 3251
5000 1 0 0 2000 4453 0 3001
5000 1 0 0 2250 6905 0 2751
5000 1 0 0 2500 13766 0 2502
5000 1 0 0 2750 35379 0 2257
5000 1 0 0 3000 80960 0 2022
5000 1 0 0 3250 219542 0 1814
5000 1 0 0 3500 382227 0 1623
5000 1 0 0 3750 527522 0 1462
5000 1 0 0 4000 726907 0 1305
5000 1 0 0 4250 920789 0 1167
5000 1 0 0 4500 1112192 0 1037
5000 1 0 0 4750 1314762 0 918
5000 1 0 0 5000 1476682 0 819
5000 1 0 0 5250 1624797 0 739
5000 1 0 0 5500 1773413 0 667
5000 1 0 0 5750 1904772 0 590
5000 1 0 0 6000 2061170 0 521
5000 1 0 0 6250 2216078 0 455
5000 1 0 0 6500 2283671 0 415
5000 1 0 0 6750 2365680 0 381
5000 1 0 0 7000 2453078 0 344
5000 1 0 0 7250 2527252 0 312
5000 1 0 0 7500 2587939 0 280
5000 1 0 0 7750 2658597 0 246
5000 1 0 0 8000 2720243 0 219
5000 1 0 0 8250 2758403 0 199
5000 1 0 0 8500 2801592 0 175
5000 1 0 0 8750 2830509 0 153
5000 1 0 0 9000 2864380 0 141
5000 1 0 0 9250 2898366 0 129
5000 1 0 0 9500 2917848 0 120
5000 1 0 0 9750 2956905 0 105
5000 1 0 0 10000 2981370 0 95
5000 1 0 0 10250 3010796 0 86
5000 1 0 0 10500 3030446 0 82
5000 1 0 0 10750 3055077 0 69
5000 1 0 0 11000 3064940 0 65
5000 1 0 0 11250 3099512 0 53
5000 1 0 0 11500 3114356 0 49
5000 1 0 0 11750 3119311 0 44
5000 1 0 0 12000 3129222 0 42
5000 1 0 0 12250 3139140 0 38
5000 1 0 0 12500 3154031 0 35
5000 1 0 0 12750 3154032 0 34
5000 1 0 0 13000 3159001 0 32
5000 1 0 0 13250 3168940 0 30
5000 1 0 0 13500 3188830 0 26
5000 1 0 0 13750 3193807 0 24
5000 1 0 0 14000 3203762 0 22
5000 1 0 0 14250 3213725 0 18
5000 1 0 0 14500 3213726 0 17
5000 1 0 0 14750 3223697 0 14
5000 1 0 0 15000 3223698 0 13
5000 1 0 0 15250 3228686 0 12
5000 1 0 0 15500 3253641 0 7
5000 1 0 0 15750 3253641 0 7
5000 1 0 0 16000 3253643 0 5
5000 1 0 0 16250 3253643 0 5
5000 1 0 0 16500 3253643 0 5
5000 1 0 0 16750 3258639 0 4
5000 1 0 0 17000 3258639 0 4
5000 1 0 0 17250 3258639 0 4
5000 1 0 0 17500 3258639 0 4
5000 1 0 0 17750 3258640 0 3
5000 1 0 0 18000 3263638 0 2
5000 1 0 0 18250 3263638 0 2
5000 1 0 0 18500 3263638 0 2
5000 1 0 0 18750 3263638 0 2
5000 1 0 0 19000 3263638 0 2
5000 1 0 0 19250 3263638 0 2
5000 1 0 0 19500 3263638 0 2
5000 1 0 0 19750 3263638 0 2
5000 1 0 0 20000 3263638 0 2
5000 1 0 0 20250 3263638 0 2
5000 1 0 0 20500 3263638 0 2
5000 1 0 0 20750 3263638 0 2
5000 1 0 0 21000 3263638 0 2
5000 1 0 0 21250 3263638 0 2
5000 1 0 0 21500 3263638 0 2
5000 1 0 0 21750 3263638 0 2
5000 1 0 0 22000 3263638 0 2
5000 1 0 0 22250 3263638 0 2
5000 1 0 0 22500 3263638 0 2
5000 1 0 0 22750 3263638 0 2
5000 1 0 0 23000 3263638 0 2
5000 1 0 0 23250 3263638 0 2
5000 1 0 0 23332 3263639 0 1
10000 1 0 0 1 0 0 10000
10000 1 0 0 250 255 0 9751
10000 1 0 0 500 520 0 9501
10000 1 0 0 750 809 0 9251
10000 1 0 0 1000 1121 0 9001
10000 1 0 0 1250 1456 0 8751
10000 1 0 0 1500 1783 0 8501
10000 1 0 0 1750 2153 0 8251
10000 1 0 0 2000 2586 0 8001
10000 1 0 0 2250 3060 0 7751
10000 1 0 0 2500 3613 0 7501
10000 1 0 0 2750 4160 0 7251
10000 1 0 0 3000 4733 0 7001
10000 1 0 0 3250 5491 0 6751
10000 1 0 0 3500 6369 0 6501
10000 1 0 0 3750 7274 0 6251
10000 1 0 0 4000 8445 0 6001
10000 1 0 0 4250 9947 0 5751
10000 1 0 0 4500 12333 0 5501
10000 1 0 0 4750 15954 0 5251
10000 1 0 0 5000 22374 0 5001
10000 1 0 0 5250 63955 0 4757
10000 1 0 0 5500 125543 0 4516
10000 1 0 0 5750 226021 0 4283
10000 1 0 0 6000 367874 0 4052
10000 1 0 0 6250 535213 0 3828
10000 1 0 0 6500 736786 0 3612
10000 1 0 0 6750 998938 0 3414
10000 1 0 0 7000 1275232 0 3228
10000 1 0 0 7250 1544517 0 3050
10000 1 0 0 7500 1899667 0 2867
10000 1 0 0 7750 2200971 0 2709
10000 1 0 0 8000 2520131 0 2555
10000 1 0 0 8250 2807024 0 2428
10000 1 0 0 8500 3251623 0 2279
10000 1 0 0 8750 3599369 0 2149
10000 1 0 0 9000 3971089 0 2044
10000 1 0 0 9250 4284397 0 1946
10000 1 0 0 9500 4672659 0 1839
10000 1 0 0 9750 5086109 0 1734
10000 1 0 0 10000 5475272 0 1632
10000 1 0 0 10250 5839679 0 1534
10000 1 0 0 10500 6144079 0 1456
10000 1 0 0 10750 6436218 0 1367
10000 1 0 0 11000 6757118 0 1297
10000 1 0 0 11250 7081569 0 1222
10000 1 0 0 11500 7305754 0 1163
10000 1 0 0 11750 7540585 0 1101
10000 1 0 0 12000 7927568 0 1030
10000 1 0 0 12250 8140597 0 983
10000 1 0 0 12500 8292382 0 941
10000 1 0 0 12750 8471974 0 890
10000 1 0 0 13000 8670971 0 843
10000 1 0 0 13250 8880040 0 799
10000 1 0 0 13500 9044714 0 755
10000 1 0 0 13750 9237734 0 721
10000 1 0 0 14000 9431752 0 679
10000 1 0 0 14250 9589489 0 649
10000 1 0 0 14500 9738539 0 616
10000 1 0 0 14750 9869398 0 589
10000 1 0 0 15000 9991319 0 559
10000 1 0 0 15250 10141923 0 524
10000 1 0 0 15500 10349939 0 490
10000 1 0 0 15750 10520894 0 452
10000 1 0 0 16000 10682876 0 427
10000 1 0 0 16250 10749786 0 405
10000 1 0 0 16500 10807245 0 392
10000 1 0 0 16750 10903177 0 372
10000 1 0 0 17000 11008933 0 351
10000 1 0 0 17250 11076372 0 335
10000 1 0 0 17500 11172943 0 313
10000 1 0 0 17750 11279422 0 298
10000 1 0 0 18000 11356967 0 288
10000 1 0 0 18250 11434611 0 275
10000 1 0 0 18500 11502701 0 255
10000 1 0 0 18750 11580642 0 242
10000 1 0 0 19000 11678195 0 228
10000 1 0 0 19250 11727035 0 220
10000 1 0 0 19500 11775918 0 211
10000 1 0 0 19750 11824849 0 201
10000 1 0 0 20000 11893431 0 188
10000 1 0 0 20250 11942477 0 176
10000 1 0 0 20500 11991598 0 164
10000 1 0 0 20750 12050613 0 151
10000 1 0 0 21000 12070313 0 145
10000 1 0 0 21250 12129438 0 137
10000 1 0 0 21500 12149161 0 132
10000 1 0 0 21750 12168893 0 127
10000 1 0 0 22000 12188636 0 123
10000 1 0 0 22250 12238016 0 115
10000 1 0 0 22500 12247911 0 108
10000 1 0 0 22750 12257802 0 105
10000 1 0 0 23000 12277591 0 101
10000 1 0 0 23250 12307290 0 96
10000 1 0 0 23500 12307297 0 90
10000 1 0 0 23750 12317210 0 87
10000 1 0 0 24000 12346956 0 83
10000 1 0 0 24250 12366796 0 79
10000 1 0 0 24500 12376719 0 77
10000 1 0 0 24750 12416423 0 71
10000 1 0 0 25000 12426352 0 70
10000 1 0 0 25250 12426352 0 70
10000 1 0 0 25500 12485947 0 64
10000 1 0 0 25750 12515770 0 58
10000 1 0 0 26000 12525714 0 56
10000 1 0 0 26250 12525715 0 55
10000 1 0 0 26500 12545606 0 53
10000 1 0 0 26750 12565503 0 49
10000 1 0 0 27000 12565508 0 45
10000 1 0 0 27250 12585422 0 42
10000 1 0 0 27500 12585423 0 41
10000 1 0 0 27750 12585423 0 41
10000 1 0 0 28000 12585423 0 41
10000 1 0 0 28250 12585423 0 41
10000 1 0 0 28500 12585425 0 39
10000 1 0 0 28750 12605351 0 36
10000 1 0 0 29000 12605351 0 36
10000 1 0 0 29250 12635249 0 33
10000 1 0 0 29500 12645217 0 32
10000 1 0 0 29750 12655186 0 31
10000 1 0 0 30000 12665157 0 29
10000 1 0 0 30250 12675130 0 27
10000 1 0 0 30500 12685106 0 25
10000 1 0 0 30750 12685106 0 25
10000 1 0 0 31000 12695082 0 24
10000 1 0 0 31250 12705059 0 23
10000 1 0 0 31500 12725019 0 20
10000 1 0 0 31750 12735000 0 19
10000 1 0 0 32000 12735002 0 17
10000 1 0 0 32250 12735003 0 16
10000 1 0 0 32500 12735003 0 16
10000 1 0 0 32750 12735003 0 16
10000 1 0 0 33000 12735003 0 16
10000 1 0 0 33250 12735004 0 15
10000 1 0 0 33500 12735004 0 15
10000 1 0 0 33750 12735004 0 15
10000 1 0 0 34000 12735005 0 14
10000 1 0 0 34250 12735005 0 14
10000 1 0 0 34500 12735005 0 14
10000 1 0 0 34750 12744992 0 13
10000 1 0 0 35000 12764970 0 10
10000 1 0 0 35250 12774961 0 9
10000 1 0 0 35500 12774961 0 9
10000 1 0 0 35750 12774961 0 9
10000 1 0 0 36000 12774961 0 9
10000 1 0 0 36250 12784953 0 8
10000 1 0 0 36500 12784953 0 8
10000 1 0 0 36750 12784954 0 7
10000 1 0 0 37000 12784954 0 7
10000 1 0 0 37250 12784954 0 7
10000 1 0 0 37500 12784954 0 7
10000 1 0 0 37750 12784954 0 7
10000 1 0 0 38000 12784955 0 6
10000 1 0 0 38250 12784955 0 6
10000 1 0 0 38500 12784955 0 6
10000 1 0 0 38750 12794950 0 5
10000 1 0 0 39000 12794950 0 5
10000 1 0 0 39250 12814944 0 2
10000 1 0 0 39415 12814945 0 1
1000 2 0 0 1 0 0 1000
1000 2 0 0 250 358 0 751
1000 2 0 0 500 1679 0 501
1000 2 0 0 750 26559 0 288
1000 2 0 0 1000 66563 0 154
1000 2 0 0 1250 90672 0 83
1000 2 0 0 1500 107303 0 49
1000 2 0 0 1750 113992 0 34
1000 2 0 0 2000 117894 0 21
1000 2 0 0 2250 122801 0 15
1000 2 0 0 2500 128742 0 7
1000 2 0 0 2750 129737 0 5
1000 2 0 0 3000 129737 0 5
1000 2 0 0 3250 131730 0 3
1000 2 0 0 3500 131730 0 3
1000 2 0 0 3680 131732 0 1
5000 2 0 0 1 0 0 5000
5000 2 0 0 250 259 0 4751
5000 2 0 0 500 554 0 4501
5000 2 0 0 750 902 0 4251
5000 2 0 0 1000 1288 0 4001
5000 2 0 0 1250 1707 0 3751
5000 2 0 0 1500 2307 0 3501
5000 2 0 0 1750 2994 0 3251
5000 2 0 0 2000 4083 0 3001
5000 2 0 0 2250 5847 0 2753
5000 2 0 0 2500 9667 0 2503
5000 2 0 0 2750 21810 0 2256
5000 2 0 0 3000 84803 0 2017
5000 2 0 0 3250 199901 0 1801
5000 2 0 0 3500 362555 0 1603
5000 2 0 0 3750 542944 0 1432
5000 2 0 0 4000 723783 0 1279
5000 2 0 0 4250 892877 0 1150
5000 2 0 0 4500 1059017 0 1025
5000 2 0 0 4750 1260065 0 915
5000 2 0 0 5000 1423290 0 821
5000 2 0 0 5250 1572229 0 732
5000 2 0 0 5500 1700402 0 656
5000 2 0 0 5750 1797973 0 581
5000 2 0 0 6000 1923882 0 522
5000 2 0 0 6250 2061193 0 459
5000 2 0 0 6500 2187429 0 408
5000 2 0 0 6750 2325053 0 359
5000 2 0 0 7000 2445778 0 318
5000 2 0 0 7250 2511287 0 289
5000 2 0 0 7500 2567820 0 258
5000 2 0 0 7750 2629429 0 238
5000 2 0 0 8000 2677078 0 220
5000 2 0 0 8250 2710555 0 203
5000 2 0 0 8500 2753785 0 178
5000 2 0 0 8750 2768257 0 170
5000 2 0 0 9000 2811798 0 151
5000 2 0 0 9250 2840908 0 138
5000 2 0 0 9500 2870101 0 125
5000 2 0 0 9750 2918908 0 112
5000 2 0 0 10000 2958103 0 92
5000 2 0 0 10250 2972834 0 86
5000 2 0 0 10500 2987593 0 75
5000 2 0 0 10750 3012242 0 65
5000 2 0 0 11000 3027058 0 58
5000 2 0 0 11250 3046841 0 46
5000 2 0 0 11500 3051804 0 41
5000 2 0 0 11750 3071657 0 34
5000 2 0 0 12000 3071661 0 30
5000 2 0 0 12250 3076632 0 29
5000 2 0 0 12500 3081605 0 27
5000 2 0 0 12750 3081606 0 26
5000 2 0 0 13000 3086585 0 22
5000 2 0 0 13250 3086585 0 22
5000 2 0 0 13500 3091564 0 21
5000 2 0 0 13750 3111491 0 16
5000 2 0 0 14000 3121462 0 14
5000 2 0 0 14250 3121464 0 12
5000 2 0 0 14500 3131445 0 9
5000 2 0 0 14750 3131445 0 9
5000 2 0 0 15000 3136437 0 8
5000 2 0 0 15250 3141430 0 7
5000 2 0 0 15500 3141430 0 7
5000 2 0 0 15750 3141430 0 7
5000 2 0 0 16000 3141430 0 7
5000 2 0 0 16250 3151419 0 5
5000 2 0 0 16500 3151419 0 5
5000 2 0 0 16750 3151420 0 4
5000 2 0 0 17000 3151421 0 3
5000 2 0 0 17250 3151421 0 3
5000 2 0 0 17500 3151422 0 2
5000 2 0 0 17750 3151422 0 2
5000 2 0 0 18000 3151422 0 2
5000 2 0 0 18250 3151422 0 2
5000 2 0 0 18500 3151422 0 2
5000 2 0 0 18750 3151422 0 2
5000 2 0 0 19000 3151422 0 2
5000 2 0 0 19250 3151422 0 2
5000 2 0 0 19500 3151422 0 2
5000 2 0 0 19750 3151422 0 2
5000 2 0 0 20000 3151422 0 2
5000 2 0 0 20250 3151422 0 2
5000 2 0 0 20500 3151422 0 2
5000 2 0 0 20750 3151422 0 2
5000 2 0 0 21000 3151422 0 2
5000 2 0 0 21250 3151422 0 2
5000 2 0 0 21500 3151422 0 2
5000 2 0 0 21750 3151422 0 2
5000 2 0 0 21906 3156421 0 1
10000 2 0 0 1 0 0 10000
10000 2 0 0 250 251 0 9751
10000 2 0 0 500 524 0 9501
10000 2 0 0 750 818 0 9251
10000 2 0 0 1000 1115 0 9001
10000 2 0 0 1250 1421 0 8751
10000 2 0 0 1500 1768 0 8501
10000 2 0 0 1750 2122 0 8251
10000 2 0 0 2000 2521 0 8001
10000 2 0 0 2250 2957 0 7751
10000 2 0 0 2500 3423 0 7501
10000 2 0 0 2750 3954 0 7251
10000 2 0 0 3000 4542 0 7001
10000 2 0 0 3250 5153 0 6751
10000 2 0 0 3500 5825 0 6501
10000 2 0 0 3750 6683 0 6251
10000 2 0 0 4000 7736 0 6001
