N T union_alg comp_alg time
1000 4 1 1 0.567
5000 4 1 1 3.0885
10000 4 1 1 9.3245
1000 5 1 1 0.5219
5000 5 1 1 2.0959
10000 5 1 1 6.7746
1000 6 1 1 0.3683
5000 6 1 1 5.0021
10000 6 1 1 5.3587
1000 7 1 1 0.3315
5000 7 1 1 2.5752
10000 7 1 1 4.3914
1000 8 1 1 0.5777
5000 8 1 1 1.9153
10000 8 1 1 6.3058
1000 9 1 1 0.474
5000 9 1 1 1.944
10000 9 1 1 5.3337
1000 10 1 1 0.2865
5000 10 1 1 2.4097
10000 10 1 1 4.7605
1000 11 1 1 0.274
5000 11 1 1 2.7331
10000 11 1 1 3.7833
1000 12 1 1 0.5219
5000 12 1 1 2.1951
10000 12 1 1 4.8069
1000 13 1 1 0.4892
5000 13 1 1 2.3161
10000 13 1 1 6.6023
1000 14 1 1 0.3838
5000 14 1 1 2.0717
10000 14 1 1 5.7503
1000 15 1 1 0.2791
5000 15 1 1 2.6284
10000 15 1 1 6.8269
1000 16 1 1 0.2983
5000 16 1 1 2.4588
10000 16 1 1 4.8368
1000 17 1 1 0.3018
5000 17 1 1 3.045
10000 17 1 1 4.4669
1000 18 1 1 0.3058
5000 18 1 1 2.2379
10000 18 1 1 7.6946
1000 19 1 1 0.3058
5000 19 1 1 2.1227
10000 19 1 1 6.5225
1000 0 1 2 0.3809
5000 0 1 2 2.6737
10000 0 1 2 5.083
1000 1 1 2 0.4793
5000 1 1 2 2.3232
10000 1 1 2 7.4585
1000 2 1 2 0.3365
5000 2 1 2 2.0338
10000 2 1 2 4.8571
1000 3 1 2 0.4356
5000 3 1 2 3.9475
10000 3 1 2 5.3158
1000 4 1 2 0.4121
5000 4 1 2 3.1209
10000 4 1 2 4.8587
1000 5 1 2 0.4851
5000 5 1 2 2.658
10000 5 1 2 6.1872
1000 6 1 2 0.4426
5000 6 1 2 3.811
10000 6 1 2 5.8428
1000 7 1 2 0.3128
5000 7 1 2 2.1493
10000 7 1 2 5.3334
1000 8 1 2 0.3303
5000 8 1 2 1.937
10000 8 1 2 7.6097
1000 9 1 2 0.4787
5000 9 1 2 2.4337
10000 9 1 2 4.077
1000 10 1 2 0.3187
5000 10 1 2 2.0938
10000 10 1 2 4.5599
1000 11 1 2 0.5041
5000 11 1 2 2.3782
10000 11 1 2 4.1247
1000 12 1 2 0.633
5000 12 1 2 2.0025
10000 12 1 2 7.0263
1000 13 1 2 0.3682
5000 13 1 2 2.1323
10000 13 1 2 5.5628
1000 14 1 2 0.4087
5000 14 1 2 4.0065
10000 14 1 2 4.7239
1000 15 1 2 0.2954
5000 15 1 2 2.8994
10000 15 1 2 4.5314
1000 16 1 2 0.3546
5000 16 1 2 2.1691
10000 16 1 2 4.9098
1000 17 1 2 0.4013
5000 17 1 2 2.1816
10000 17 1 2 5.8288
1000 18 1 2 0.2943
5000 18 1 2 2.1611
10000 18 1 2 7.1125
1000 19 1 2 0.3109
5000 19 1 2 3.7867
10000 19 1 2 4.6329
1000 0 1 3 0.6447
5000 0 1 3 2.6247
10000 0 1 3 4.902
1000 1 1 3 0.373
5000 1 1 3 2.4855
10000 1 1 3 11.4781
1000 2 1 3 0.5033
5000 2 1 3 2.073
10000 2 1 3 6.0007
1000 3 1 3 0.3553
5000 3 1 3 2.0673
10000 3 1 3 5.5807
1000 4 1 3 0.6841
5000 4 1 3 4.1145
10000 4 1 3 4.6427
1000 5 1 3 0.3341
5000 5 1 3 2.6326
10000 5 1 3 5.4481
1000 6 1 3 0.3885
5000 6 1 3 4.0834
10000 6 1 3 4.1961
1000 7 1 3 0.3879
5000 7 1 3 2.1331
10000 7 1 3 3.8587
1000 8 1 3 0.3989
5000 8 1 3 1.8641
10000 8 1 3 5.1205
1000 9 1 3 0.8259
5000 9 1 3 1.9703
10000 9 1 3 6.0558
1000 10 1 3 0.2957
5000 10 1 3 1.9971
10000 10 1 3 5.609
1000 11 1 3 0.274
5000 11 1 3 2.2931
10000 11 1 3 4.8942
1000 12 1 3 0.5587
5000 12 1 3 1.9555
10000 12 1 3 5.4738
1000 13 1 3 0.3431
5000 13 1 3 2.4962
10000 13 1 3 4.7435
1000 14 1 3 0.5698
5000 14 1 3 2.5444
10000 14 1 3 4.9184
1000 15 1 3 0.3409
5000 15 1 3 2.6164
10000 15 1 3 5.0197
